,TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18
139,weka.classifiers.Evaluation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,1503396459,4028,778,104,2127,156,68478,0,7931,463823,181,316,847,3512,778,0.5961650837822987,0.4511742892459827,0.1181184476379376,0.2738295887158737,0.4540176943466996,0.5037032389971765,0.533122535766649,0.5529313490645882,0.5742787306475237,0.5806400734492035,0.5808629488714813,0.5819550341387477,0.5829103173575272,0.5819015683984983,0.5845548740051508,0.5885016251789489,0.5895295261140236,0.5933125526497761,0.5960241930513052,0.5958900471198902
140,weka.classifiers.Evaluation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,564745955,3985,778,104,1985,50,26721,0,2594,507846,144,232,634,2772,778,0.5635333141677601,0.4289245982694685,0.1833404685330599,0.1833404685330599,0.1833404685330599,0.2684716174867164,0.3614065853067294,0.4067159074769445,0.4531484082853277,0.4785828269014491,0.4975130559076081,0.5180191403513386,0.5297695702415679,0.5356372864166511,0.5543652631052997,0.5580850993073304,0.5590959936130043,0.5601068879186782,0.5611177822243522,0.5621286765300262
141,weka.classifiers.Evaluation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,2717935071,4026,778,104,2292,126,46827,0,6461,445273,176,299,816,2848,778,0.622025547788525,0.4944375772558714,0.148149181171647,0.148149181171647,0.3403558826532175,0.4031938283483521,0.4495794132730403,0.4943317882606354,0.5195243843222409,0.5333815153894607,0.5469611687035983,0.5529018512887912,0.5555554757780853,0.5603901430671768,0.564660442125239,0.5662949457487929,0.5733500086093155,0.5893477957806058,0.6082430690457723,0.6205611324097402
142,weka.classifiers.Evaluation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,665405584,4003,778,104,2034,72,42225,0,3662,490590,154,248,717,3726,778,0.5744520170853515,0.4338689740420272,0.1128537016323957,0.1128537016323957,0.1215376703699097,0.3272084723763584,0.3953345927189261,0.4388131625313969,0.4558526800687148,0.4914534152433167,0.5125255394316638,0.5191521265457902,0.5263289741742274,0.5361547503250443,0.5414940110053833,0.5434624921115802,0.5632708799304299,0.5677440996771175,0.5679811030299494,0.5702911239179363
143,weka.classifiers.Evaluation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,1023526575,4029,778,104,2301,99,48074,0,5077,498273,187,301,891,3795,778,0.626701163411572,0.5018541409147095,0.1321404335148245,0.1321404335148245,0.1321404335148245,0.1919061619688638,0.3302753676886942,0.405391095769949,0.4497893176556302,0.5034858323733853,0.5396532113308222,0.5631814192008715,0.5823456128136452,0.5976644199941863,0.6058647765396361,0.6126345600423747,0.6182488215287611,0.623074131370142,0.6260535029472842,0.626093672418574
144,weka.classifiers.Evaluation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,1459323115,3999,778,104,2008,68,36817,0,3532,495447,153,288,723,3469,778,0.5750800005048736,0.4289245982694685,0.1194398749894933,0.1194398749894933,0.1746906095769873,0.2711984178362675,0.3184721250827033,0.3970293520305051,0.445601177537307,0.4753726444955823,0.4866754661393644,0.4896184012575576,0.4927007465958014,0.5131917227503092,0.5385221245906824,0.5515205286281706,0.5637385728324109,0.5648593538372073,0.5659801348420037,0.5722366972614452
145,weka.classifiers.Evaluation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,1963229672,4002,778,104,2072,74,36427,0,3827,463976,156,267,689,3070,778,0.5824641228909417,0.4437577255871446,0.119742426338264,0.119742426338264,0.1978509386922295,0.3807972385667922,0.4842436926552225,0.5087324471458095,0.521458222612625,0.5332503568494523,0.535089114441533,0.5369278720336137,0.5387666296256943,0.5406053872177751,0.548870612475554,0.5512220841810809,0.5636907029278799,0.5717734742914858,0.5763057286165559,0.5818666563459598
146,weka.classifiers.Evaluation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,2760796174,4004,778,104,1998,85,41302,0,4375,528872,154,254,648,3317,778,0.5728863335256328,0.4140914709517923,0.1376772141152132,0.1376772141152132,0.1376772141152132,0.1495922825641572,0.3582951719658578,0.3995358739481385,0.4271584471134063,0.467789306672512,0.4954267330491476,0.5025789966728251,0.5265498339927116,0.5410164579632077,0.5449828915188396,0.555533550300527,0.5597784583530512,0.5640976160908366,0.5700859623804289,0.5701522678599144
147,weka.classifiers.Evaluation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,2141250291,3994,778,104,2001,69,27093,0,3580,507564,147,241,621,2323,778,0.5675426590317495,0.4301606922126081,0.0954092286120844,0.0954092286120844,0.0954092286120844,0.266382451816801,0.3538685314663995,0.4068163800298897,0.4580954582801915,0.4631964464358359,0.4963266479477118,0.5185396586924681,0.524783088853509,0.5345608611611276,0.5414034085895383,0.5437483095818599,0.555250838193078,0.5549880842718925,0.5580671125614982,0.5638320863656346
148,weka.classifiers.Evaluation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,default_180,1660705583,4012,778,104,2174,98,40991,0,5086,516615,163,268,699,2834,778,0.5985449962070221,0.4734239802224969,0.1208762311611723,0.1208762311611723,0.1208762311611723,0.3745738465674947,0.458023486562192,0.5039118596567165,0.5202402498340576,0.5279112331510623,0.5381491317909427,0.551147445545301,0.5642810750574507,0.5749428450522553,0.5790597541660474,0.5801377886370417,0.5814936469141577,0.5836419132650408,0.584577488645701,0.590674177258091
