configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
output_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,3,111,427,26
output_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,4,99,427,23
output_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,5,110,427,26
output_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,6,98,427,23
output_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,7,94,427,22
output_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,8,110,427,26
output_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,9,112,427,26
output_60,103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,10,97,427,23
output_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,1,0,1310,0
output_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,2,0,1310,0
output_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,3,0,1310,0
output_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,4,0,1310,0
output_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,5,0,1310,0
output_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,6,0,1310,0
output_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,7,0,1310,0
output_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,8,0,1310,0
output_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,9,0,1310,0
output_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,10,0,1310,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,1,0,380,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,2,0,380,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,3,0,380,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,4,0,380,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,5,0,380,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,6,0,380,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,7,0,380,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,8,0,380,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,9,0,380,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,10,0,380,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,1,0,417,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,2,2,417,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,3,0,417,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,6,0,417,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,7,0,417,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,8,3,417,1
output_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,9,0,417,0
output_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,10,0,417,0
output_60,105_freemind,freemind.extensions.ExportHook,1,2,157,1
output_60,105_freemind,freemind.extensions.ExportHook,2,2,157,1
output_60,105_freemind,freemind.extensions.ExportHook,3,3,157,2
output_60,105_freemind,freemind.extensions.ExportHook,4,3,157,2
output_60,105_freemind,freemind.extensions.ExportHook,5,3,157,2
output_60,105_freemind,freemind.extensions.ExportHook,6,2,157,1
output_60,105_freemind,freemind.extensions.ExportHook,7,2,157,1
output_60,105_freemind,freemind.extensions.ExportHook,8,2,157,1
output_60,105_freemind,freemind.extensions.ExportHook,9,1,157,1
output_60,105_freemind,freemind.extensions.ExportHook,10,2,157,1
output_60,105_freemind,accessories.plugins.time.JDayChooser,1,159,834,19
output_60,105_freemind,accessories.plugins.time.JDayChooser,2,130,834,16
output_60,105_freemind,accessories.plugins.time.JDayChooser,3,182,834,22
output_60,105_freemind,accessories.plugins.time.JDayChooser,4,190,834,23
output_60,105_freemind,accessories.plugins.time.JDayChooser,5,178,834,21
output_60,105_freemind,accessories.plugins.time.JDayChooser,6,179,834,21
output_60,105_freemind,accessories.plugins.time.JDayChooser,7,170,834,20
output_60,105_freemind,accessories.plugins.time.JDayChooser,8,152,834,18
output_60,105_freemind,accessories.plugins.time.JDayChooser,9,173,834,21
output_60,105_freemind,accessories.plugins.time.JDayChooser,10,189,834,23
output_60,107_weka,weka.core.Memory,1,166,178,93
output_60,107_weka,weka.core.Memory,2,163,178,92
