configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
default_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,9,0,1310,0
default_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,10,0,1310,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,1,0,380,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,2,0,380,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,3,0,380,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,4,0,380,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,5,0,380,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,6,0,380,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,7,0,380,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,8,0,380,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,9,0,380,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,10,0,380,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,1,12,417,3
default_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,2,2,417,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,3,2,417,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,4,1,417,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,5,2,417,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,6,2,417,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,7,0,417,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,8,2,417,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,9,2,417,0
default_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,10,0,417,0
default_60,105_freemind,freemind.extensions.ExportHook,1,6,157,4
default_60,105_freemind,freemind.extensions.ExportHook,2,5,157,3
default_60,105_freemind,freemind.extensions.ExportHook,3,5,157,3
default_60,105_freemind,freemind.extensions.ExportHook,4,5,157,3
default_60,105_freemind,freemind.extensions.ExportHook,5,5,157,3
default_60,105_freemind,freemind.extensions.ExportHook,6,5,157,3
default_60,105_freemind,freemind.extensions.ExportHook,7,5,157,3
default_60,105_freemind,freemind.extensions.ExportHook,8,4,157,3
default_60,105_freemind,freemind.extensions.ExportHook,9,5,157,3
default_60,105_freemind,freemind.extensions.ExportHook,10,5,157,3
default_60,105_freemind,accessories.plugins.time.JDayChooser,1,161,834,19
default_60,105_freemind,accessories.plugins.time.JDayChooser,2,137,834,16
default_60,105_freemind,accessories.plugins.time.JDayChooser,3,141,834,17
default_60,105_freemind,accessories.plugins.time.JDayChooser,4,125,834,15
default_60,105_freemind,accessories.plugins.time.JDayChooser,5,156,834,19
default_60,105_freemind,accessories.plugins.time.JDayChooser,6,175,834,21
default_60,105_freemind,accessories.plugins.time.JDayChooser,7,148,834,18
default_60,105_freemind,accessories.plugins.time.JDayChooser,8,125,834,15
default_60,105_freemind,accessories.plugins.time.JDayChooser,9,152,834,18
default_60,105_freemind,accessories.plugins.time.JDayChooser,10,151,834,18
default_60,107_weka,weka.core.Memory,1,176,178,99
default_60,107_weka,weka.core.Memory,2,166,178,93
default_60,107_weka,weka.core.Memory,3,166,178,93
default_60,107_weka,weka.core.Memory,4,166,178,93
default_60,107_weka,weka.core.Memory,5,162,178,91
default_60,107_weka,weka.core.Memory,6,150,178,84
default_60,107_weka,weka.core.Memory,7,166,178,93
default_60,107_weka,weka.core.Memory,8,166,178,93
default_60,107_weka,weka.core.Memory,9,56,178,31
default_60,107_weka,weka.core.Memory,10,132,178,74
default_60,107_weka,weka.classifiers.Evaluation,1,1010,4380,23
default_60,107_weka,weka.classifiers.Evaluation,2,1058,4380,24
default_60,107_weka,weka.classifiers.Evaluation,3,908,4380,21
default_60,107_weka,weka.classifiers.Evaluation,4,1054,4380,24
default_60,107_weka,weka.classifiers.Evaluation,5,1037,4380,24
default_60,107_weka,weka.classifiers.Evaluation,6,1134,4380,26
default_60,107_weka,weka.classifiers.Evaluation,7,1073,4380,24
default_60,107_weka,weka.classifiers.Evaluation,8,1048,4380,24
default_60,107_weka,weka.classifiers.Evaluation,9,1131,4380,26
default_60,107_weka,weka.classifiers.Evaluation,10,646,4380,15
default_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,1,178,779,23
default_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,2,57,779,7
default_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,3,219,779,28
default_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,4,108,779,14
default_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,5,208,779,27
default_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,6,57,779,7
default_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,7,176,779,23
default_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,8,203,779,26
default_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,9,177,779,23
default_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,10,241,779,31
default_60,107_weka,weka.core.FindWithCapabilities,1,223,948,24
default_60,107_weka,weka.core.FindWithCapabilities,2,265,948,28
default_60,107_weka,weka.core.FindWithCapabilities,3,229,948,24
default_60,107_weka,weka.core.FindWithCapabilities,4,214,948,23
default_60,107_weka,weka.core.FindWithCapabilities,5,250,948,26
default_60,107_weka,weka.core.FindWithCapabilities,6,230,948,24
default_60,107_weka,weka.core.FindWithCapabilities,7,246,948,26
default_60,107_weka,weka.core.FindWithCapabilities,8,228,948,24
default_60,107_weka,weka.core.FindWithCapabilities,9,312,948,33
default_60,107_weka,weka.core.FindWithCapabilities,10,203,948,21
default_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,1,137,314,44
default_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,2,108,314,34
default_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,3,126,314,40
default_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,4,138,314,44
default_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,5,124,314,39
default_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,6,106,314,34
default_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,7,120,314,38
default_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,8,139,314,44
default_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,9,119,314,38
default_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,10,141,314,45
