,TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18
827,de.huxhorn.lilith.data.access.AccessEvent,BRANCH,branch_180,4143214526,134,102,34,134,107,69401,0,5571,107145,68,79,248,512,102,1.0,1.0,0.6877348698484953,0.8774819257188379,0.9335836382864804,0.983898706791774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
828,de.huxhorn.lilith.data.access.AccessEvent,BRANCH,branch_180,2647465822,134,102,34,134,96,95891,0,4851,104386,68,77,249,584,102,1.0,1.0,0.6904559580232106,0.9448298342186332,0.966861333117825,0.998472870244594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
829,de.huxhorn.lilith.data.access.AccessEvent,BRANCH,branch_180,160223590,134,102,34,134,128,86769,0,6662,104275,68,82,250,531,102,1.0,1.0,0.6745079390833504,0.9254174301873948,0.95237789805199,0.9776230454868514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
830,de.huxhorn.lilith.data.access.AccessEvent,BRANCH,branch_180,4123676159,134,102,34,134,104,73340,0,5340,83560,66,80,246,531,102,1.0,1.0,0.6495790748309272,0.9337333247856772,0.9873969581499962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
831,dk.statsbiblioteket.summa.storage.database.StatementHandler,BRANCH,branch_180,2190773994,108,90,24,0,528,0,0,2691,189345,0,1,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832,dk.statsbiblioteket.summa.storage.database.StatementHandler,BRANCH,branch_180,2505422566,108,90,24,0,481,0,0,2456,188185,0,1,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833,dk.statsbiblioteket.summa.storage.database.StatementHandler,BRANCH,branch_180,656007884,108,90,24,0,549,0,0,2796,185943,0,1,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834,dk.statsbiblioteket.summa.storage.database.StatementHandler,BRANCH,branch_180,739322920,108,90,24,0,520,0,0,2651,188801,0,1,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835,dk.statsbiblioteket.summa.storage.database.StatementHandler,BRANCH,branch_180,3238385215,108,90,24,0,373,0,0,1916,187086,0,1,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836,dk.statsbiblioteket.summa.storage.database.StatementHandler,BRANCH,branch_180,470924857,108,90,24,0,518,0,0,2641,186422,0,1,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
