configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
branch_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,2,0,1310,0
branch_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,3,0,1310,0
branch_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,4,0,1310,0
branch_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,5,0,1310,0
branch_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,6,0,1310,0
branch_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,7,0,1310,0
branch_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,8,0,1310,0
branch_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,9,0,1310,0
branch_60,103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,10,0,1310,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,1,0,380,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,2,0,380,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,3,0,380,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,4,0,380,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,5,0,380,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,6,0,380,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,7,0,380,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,8,0,380,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,9,0,380,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,10,0,380,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,1,0,417,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,2,0,417,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,3,2,417,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,4,2,417,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,5,0,417,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,7,2,417,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,8,0,417,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,9,2,417,0
branch_60,104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,10,0,417,0
branch_60,105_freemind,freemind.extensions.ExportHook,1,2,157,1
branch_60,105_freemind,freemind.extensions.ExportHook,2,3,157,2
branch_60,105_freemind,freemind.extensions.ExportHook,3,2,157,1
branch_60,105_freemind,freemind.extensions.ExportHook,4,2,157,1
branch_60,105_freemind,freemind.extensions.ExportHook,5,1,157,1
branch_60,105_freemind,freemind.extensions.ExportHook,6,2,157,1
branch_60,105_freemind,freemind.extensions.ExportHook,7,2,157,1
branch_60,105_freemind,freemind.extensions.ExportHook,8,2,157,1
branch_60,105_freemind,freemind.extensions.ExportHook,9,3,157,2
branch_60,105_freemind,freemind.extensions.ExportHook,10,2,157,1
branch_60,105_freemind,accessories.plugins.time.JDayChooser,1,152,834,18
branch_60,105_freemind,accessories.plugins.time.JDayChooser,2,132,834,16
branch_60,105_freemind,accessories.plugins.time.JDayChooser,3,179,834,21
branch_60,105_freemind,accessories.plugins.time.JDayChooser,4,160,834,19
branch_60,105_freemind,accessories.plugins.time.JDayChooser,5,180,834,22
branch_60,105_freemind,accessories.plugins.time.JDayChooser,6,158,834,19
branch_60,105_freemind,accessories.plugins.time.JDayChooser,7,182,834,22
branch_60,105_freemind,accessories.plugins.time.JDayChooser,8,177,834,21
branch_60,105_freemind,accessories.plugins.time.JDayChooser,9,184,834,22
branch_60,105_freemind,accessories.plugins.time.JDayChooser,10,172,834,21
branch_60,107_weka,weka.core.Memory,1,127,178,71
branch_60,107_weka,weka.core.Memory,2,151,178,85
branch_60,107_weka,weka.core.Memory,3,127,178,71
branch_60,107_weka,weka.core.Memory,4,127,178,71
branch_60,107_weka,weka.core.Memory,5,127,178,71
branch_60,107_weka,weka.core.Memory,6,166,178,93
branch_60,107_weka,weka.core.Memory,7,121,178,68
branch_60,107_weka,weka.core.Memory,8,102,178,57
branch_60,107_weka,weka.core.Memory,9,140,178,79
branch_60,107_weka,weka.core.Memory,10,140,178,79
branch_60,107_weka,weka.classifiers.Evaluation,1,892,4380,20
branch_60,107_weka,weka.classifiers.Evaluation,2,1032,4380,24
branch_60,107_weka,weka.classifiers.Evaluation,3,1255,4380,29
branch_60,107_weka,weka.classifiers.Evaluation,4,897,4380,20
branch_60,107_weka,weka.classifiers.Evaluation,5,989,4380,23
branch_60,107_weka,weka.classifiers.Evaluation,6,937,4380,21
branch_60,107_weka,weka.classifiers.Evaluation,7,904,4380,21
branch_60,107_weka,weka.classifiers.Evaluation,8,962,4380,22
branch_60,107_weka,weka.classifiers.Evaluation,9,786,4380,18
branch_60,107_weka,weka.classifiers.Evaluation,10,1040,4380,24
branch_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,1,224,779,29
branch_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,2,198,779,25
branch_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,3,185,779,24
branch_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,4,194,779,25
branch_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,5,183,779,23
branch_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,6,287,779,37
branch_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,7,175,779,22
branch_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,8,264,779,34
branch_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,9,279,779,36
branch_60,107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,10,221,779,28
branch_60,107_weka,weka.core.FindWithCapabilities,1,209,948,22
branch_60,107_weka,weka.core.FindWithCapabilities,2,199,948,21
branch_60,107_weka,weka.core.FindWithCapabilities,3,221,948,23
branch_60,107_weka,weka.core.FindWithCapabilities,4,202,948,21
branch_60,107_weka,weka.core.FindWithCapabilities,5,278,948,29
branch_60,107_weka,weka.core.FindWithCapabilities,6,220,948,23
branch_60,107_weka,weka.core.FindWithCapabilities,7,208,948,22
branch_60,107_weka,weka.core.FindWithCapabilities,8,206,948,22
branch_60,107_weka,weka.core.FindWithCapabilities,9,338,948,36
branch_60,107_weka,weka.core.FindWithCapabilities,10,316,948,33
branch_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,1,123,314,39
branch_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,2,136,314,43
branch_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,3,145,314,46
branch_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,4,126,314,40
branch_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,5,110,314,35
branch_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,6,136,314,43
branch_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,7,101,314,32
branch_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,8,135,314,43
branch_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,9,140,314,45
branch_60,108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,10,116,314,37
branch_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,1,73,244,30
branch_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,2,73,244,30
branch_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,3,48,244,20
branch_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,4,45,244,18
branch_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,5,70,244,29
branch_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,6,81,244,33
branch_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,7,47,244,19
branch_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,8,46,244,19
branch_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,9,50,244,20
branch_60,108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,10,73,244,30
branch_60,109_pdfsam,jcmdline.HelpCmdLineHandler,1,45,150,30
branch_60,109_pdfsam,jcmdline.HelpCmdLineHandler,2,46,150,31
branch_60,109_pdfsam,jcmdline.HelpCmdLineHandler,3,46,150,31
branch_60,109_pdfsam,jcmdline.HelpCmdLineHandler,4,46,150,31
branch_60,109_pdfsam,jcmdline.HelpCmdLineHandler,5,45,150,30
branch_60,109_pdfsam,jcmdline.HelpCmdLineHandler,6,45,150,30
branch_60,109_pdfsam,jcmdline.HelpCmdLineHandler,7,45,150,30
branch_60,109_pdfsam,jcmdline.HelpCmdLineHandler,8,46,150,31
branch_60,109_pdfsam,jcmdline.HelpCmdLineHandler,9,45,150,30
branch_60,109_pdfsam,jcmdline.HelpCmdLineHandler,10,46,150,31
branch_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,1,6,107,6
branch_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,2,6,107,6
branch_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,3,6,107,6
branch_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,4,6,107,6
branch_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,5,6,107,6
branch_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,6,6,107,6
branch_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,7,6,107,6
branch_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,8,6,107,6
branch_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,9,6,107,6
branch_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,10,6,107,6
branch_60,11_imsmart,com.imsmart.servlet.HTMLFilter,1,35,36,97
branch_60,11_imsmart,com.imsmart.servlet.HTMLFilter,2,35,36,97
