,TARGET_CLASS,criterion,configuration_id,Random_Seed,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Total_Branches_Real,Coverage,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6
729,org.petsoar.search.lucene.DefaultLuceneDocumentFactory,BRANCH;OUTPUT,output_60,2074700598,57,22,30,25,343,51878,0,17069,80635,16,22,39,77,22,0.3053191489361702,0.5106382978723404,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702
730,org.petsoar.search.lucene.DefaultLuceneDocumentFactory,BRANCH;OUTPUT,output_60,1840952125,57,22,30,25,286,41483,0,14136,76144,16,21,34,75,22,0.3053191489361702,0.5106382978723404,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702
731,org.petsoar.search.lucene.DefaultLuceneDocumentFactory,BRANCH;OUTPUT,output_60,1712313466,57,22,30,25,312,47559,0,15522,79931,17,22,38,56,22,0.3053191489361702,0.5106382978723404,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702
732,org.petsoar.search.lucene.DefaultLuceneDocumentFactory,BRANCH;OUTPUT,output_60,1576690736,57,22,30,25,305,43795,0,15153,82275,16,21,40,63,22,0.3053191489361702,0.5106382978723404,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702
733,org.petsoar.search.lucene.DefaultLuceneDocumentFactory,BRANCH;OUTPUT,output_60,2292408420,57,22,30,25,323,49945,0,16128,75331,17,20,40,47,22,0.3053191489361702,0.5106382978723404,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702,0.3053191489361702
734,framework.util.jdbc.JDBCUtils,BRANCH;OUTPUT,output_60,2683914046,216,120,32,80,24,5218,0,1111,238610,34,42,79,378,120,0.3086524822695035,0.5106382978723404,0.1581271727306613,0.2550516825782451,0.3066852366561072,0.3086524822695035,0.3086524822695035,0.3086524822695035
735,framework.util.jdbc.JDBCUtils,BRANCH;OUTPUT,output_60,758944679,216,120,32,80,38,10612,0,1770,141441,32,40,71,257,120,0.3086524822695035,0.5106382978723404,0.1262856988272849,0.1648435694486734,0.205483386854934,0.264434400027498,0.2706149194031035,0.3044035788619788
736,framework.util.jdbc.JDBCUtils,BRANCH;OUTPUT,output_60,3365892877,216,120,32,57,114,20781,0,5129,132774,31,37,54,194,120,0.2302127659574468,0.3404255319148936,0.1319444787433693,0.1798488583290088,0.2194335632861507,0.2302127659574468,0.2302127659574468,0.2302127659574468
737,framework.util.jdbc.JDBCUtils,BRANCH;OUTPUT,output_60,3412553799,216,120,32,46,44,7895,0,2041,182669,21,36,50,165,120,0.2302127659574468,0.2624113475177305,0.1407114311189044,0.1969795326841761,0.203880865405433,0.2133436539933621,0.2177002872657135,0.2302127659574468
738,framework.util.jdbc.JDBCUtils,BRANCH;OUTPUT,output_60,244152948,216,120,32,54,31,4887,0,1377,142330,28,34,44,168,120,0.2133333333333333,0.3333333333333333,0.0904964539007092,0.1572954595305988,0.1705410119390111,0.1892139214875595,0.2076288320326648,0.2133333333333333
739,framework.util.jdbc.JDBCUtils,BRANCH;OUTPUT,output_60,3511185543,216,120,32,45,34,8083,0,1491,139407,19,32,44,191,120,0.2129078014184397,0.2624113475177305,0.1553415922640932,0.1743262411347517,0.1802290391730071,0.1920567375886524,0.1920567375886524,0.2074286278257978
740,framework.util.jdbc.JDBCUtils,BRANCH;OUTPUT,output_60,1558402966,216,120,32,71,75,13588,0,3489,124863,21,41,68,312,120,0.3019858156028369,0.4539007092198581,0.1042392565681094,0.1397204585020788,0.2067744031636193,0.2499409997202048,0.2736170212765957,0.2855219542095862
741,framework.util.jdbc.JDBCUtils,BRANCH;OUTPUT,output_60,3850420974,216,120,32,41,8,1799,0,374,167064,18,23,26,192,120,0.1641134751773049,0.2482269503546099,0.0874919694774155,0.0969939846964766,0.1117606843704113,0.125531914893617,0.125531914893617,0.1466054292002934
742,framework.util.jdbc.JDBCUtils,BRANCH;OUTPUT,output_60,722416294,216,120,32,43,4,1293,0,217,379073,22,22,281,281,120,0.1743262411347517,0.2553191489361702,0.1504516927938786,0.1582752673401994,0.1660988418865203,0.16886874747834,0.1707812492213752,0.1735496927304549
743,framework.util.jdbc.JDBCUtils,BRANCH;OUTPUT,output_60,1118710231,216,120,32,51,45,10125,0,2076,137772,24,34,73,288,120,0.2173049645390071,0.3191489361702128,0.127251144803708,0.1813254819176712,0.1997485082953565,0.2117512814160583,0.2173049645390071,0.2173049645390071
744,framework.util.StringUtils,BRANCH;OUTPUT,output_60,1343475977,201,80,34,161,294,82952,0,15054,138260,77,101,98,641,80,0.8140479492767981,0.9183673469387756,0.7547011836490451,0.8078210557040907,0.8089459084604715,0.812736764904572,0.8140479492767981,0.8140479492767981
745,framework.util.StringUtils,BRANCH;OUTPUT,output_60,4252960566,201,80,34,163,215,58329,0,10918,161831,74,88,92,553,80,0.8140479492767981,0.9387755102040816,0.7469155026399978,0.8021888405692993,0.8040915395284327,0.8069137261773589,0.811812850938508,0.8140479492767981
746,framework.util.StringUtils,BRANCH;OUTPUT,output_60,2493879150,201,80,34,165,293,72527,0,14809,139802,76,93,95,645,80,0.8242520309094512,0.9591836734693876,0.7752190148140202,0.8073369383073496,0.8173426288002918,0.8232196226113083,0.8242520309094512,0.8242520309094512
747,framework.util.StringUtils,BRANCH;OUTPUT,output_60,1259197185,201,80,34,163,226,55446,0,11485,142666,76,100,91,584,80,0.8140479492767981,0.9387755102040816,0.5994864347296137,0.7867262156789311,0.8083591673448283,0.8140479492767981,0.8140479492767981,0.8140479492767981
748,framework.util.StringUtils,BRANCH;OUTPUT,output_60,3052004381,201,80,34,164,198,49657,0,10032,144617,77,86,95,652,80,0.8191499900931247,0.9489795918367347,0.7507540026011135,0.8170319131326108,0.8191499900931247,0.8191499900931247,0.8191499900931247,0.8191499900931247
749,framework.util.StringUtils,BRANCH;OUTPUT,output_60,3849179950,201,80,34,163,249,64509,0,12588,152071,79,92,99,589,80,0.8140479492767981,0.9387755102040816,0.7352714727811251,0.8024236671381977,0.8126752461067474,0.8140479492767981,0.8140479492767981,0.8140479492767981
750,framework.util.StringUtils,BRANCH;OUTPUT,output_60,3347211821,201,80,34,164,314,76453,0,15832,141699,75,94,93,580,80,0.8191499900931247,0.9489795918367347,0.779103583647051,0.8179880230058297,0.8191499900931247,0.8191499900931247,0.8191499900931247,0.8191499900931247
751,framework.util.StringUtils,BRANCH;OUTPUT,output_60,1360413435,201,80,34,163,213,69776,0,10762,150180,76,90,93,644,80,0.8140479492767981,0.9387755102040816,0.7373347078709698,0.8091935803447593,0.8091935803447593,0.8119627209064313,0.8140479492767981,0.8140479492767981
752,framework.util.StringUtils,BRANCH;OUTPUT,output_60,1444399540,201,80,34,164,307,76665,0,15526,153627,75,89,92,502,80,0.8191499900931247,0.9489795918367347,0.7335157694065313,0.7902570151871333,0.8096329004338219,0.8191499900931247,0.8191499900931247,0.8191499900931247
753,framework.util.StringUtils,BRANCH;OUTPUT,output_60,4226878808,201,80,34,164,262,68210,0,13273,140919,76,90,94,607,80,0.8191499900931247,0.9489795918367347,0.7361365400675817,0.8060452506089065,0.8175005109390073,0.8191499900931247,0.8191499900931247,0.8191499900931247
754,de.beiri22.stringincrementor.helper.IndexedString,BRANCH;OUTPUT,output_60,1911424807,23,20,3,23,34,22421,0,1812,67728,4,8,17,42,20,1.0,1.0,0.7409625316780548,0.8244346653980336,0.8333333333333333,0.8333333333333333,1.0,1.0
755,de.beiri22.stringincrementor.helper.IndexedString,BRANCH;OUTPUT,output_60,3654213904,23,20,3,21,23,17202,0,1210,97621,3,7,12,24,20,0.8083333333333333,0.95,0.7106056284464728,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.8083333333333333
756,de.beiri22.stringincrementor.helper.IndexedString,BRANCH;OUTPUT,output_60,251800326,23,20,3,22,43,29404,0,2221,87100,3,7,13,58,20,0.8333333333333333,1.0,0.8083333333333333,0.8256882790781095,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333
757,de.beiri22.stringincrementor.helper.IndexedString,BRANCH;OUTPUT,output_60,768448273,23,20,3,22,37,25457,0,1920,77367,2,7,9,26,20,0.8333333333333333,1.0,0.6617021448153524,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.8281061022539856
758,de.beiri22.stringincrementor.helper.IndexedString,BRANCH;OUTPUT,output_60,520642924,23,20,3,22,22,20499,0,1142,94281,4,9,16,52,20,0.975,0.95,0.7523348098929494,0.975,0.975,0.975,0.975,0.975
759,de.beiri22.stringincrementor.helper.IndexedString,BRANCH;OUTPUT,output_60,2181700853,23,20,3,22,37,32719,0,1874,89079,4,8,16,46,20,0.975,0.95,0.880898186467481,0.975,0.975,0.975,0.975,0.975
760,de.beiri22.stringincrementor.helper.IndexedString,BRANCH;OUTPUT,output_60,3050996192,23,20,3,22,48,27632,0,2504,80188,4,8,16,37,20,0.975,0.95,0.7491380194971781,0.8083333333333333,0.9291857076627592,0.975,0.975,0.975
